-2.4--2	0.0506754	0.0718295
-2--1.6	0.0731886	0.0672051
-1.6--1.2	0.0919537	0.0657417
-1.2--0.8	0.0941263	0.065561
-0.8--0.4	0.113821	0.0665312
-0.4-0	0.0981495	0.068074
0-0.4	-0.264948	0.0693259
0.4-0.8	0.0852445	0.0706443
0.8-1.2	0.124962	0.0724458
1.2-1.6	0.014512	0.0759442
1.6-2	0.0525513	0.0802381
2-2.4	0.0141119	0.0908178
-2.4--2	0.0373322	0.0674967
-2--1.6	0.0699918	0.0631565
-1.6--1.2	0.0566974	0.0618059
-1.2--0.8	0.0259571	0.0616393
-0.8--0.4	0.0663415	0.0625638
-0.4-0	0.0178296	0.0640131
0-0.4	0.0718265	0.0652367
0.4-0.8	0.065236	0.0664992
0.8-1.2	0.0427661	0.0682197
1.2-1.6	0.0636623	0.0714991
1.6-2	0.0535114	0.0755109
2-2.4	-0.0165462	0.0855682
-2.4--2	0.0607866	0.0682475
-2--1.6	-0.00250869	0.063845
-1.6--1.2	0.0840505	0.0624396
-1.2--0.8	0.0976227	0.0623015
-0.8--0.4	0.115913	0.0632373
-0.4-0	0.0718609	0.0646777
0-0.4	-0.00535725	0.0659586
0.4-0.8	0.0391968	0.0672139
0.8-1.2	-0.0140615	0.068951
1.2-1.6	0.0649522	0.0723002
1.6-2	-0.0108979	0.0763387
2-2.4	0.0450286	0.0865626
-2.4--2	0.0163134	0.0692737
-2--1.6	0.0390133	0.0648226
-1.6--1.2	0.0576011	0.0634448
-1.2--0.8	0.0861028	0.0632745
-0.8--0.4	0.0606486	0.0641934
-0.4-0	0.0499087	0.065623
0-0.4	0.01903	0.0669093
0.4-0.8	0.0290131	0.0681807
0.8-1.2	0.0848418	0.0699715
1.2-1.6	0.0617366	0.0733532
1.6-2	0.0418004	0.0774536
2-2.4	0.012285	0.0877958
-2.4--2	0.0958535	0.0690533
-2--1.6	-0.0425363	0.0645294
-1.6--1.2	0.0141677	0.0631648
-1.2--0.8	0.0925614	0.062973
-0.8--0.4	-0.00942343	0.0639209
-0.4-0	0.0217526	0.0653813
0-0.4	0.099479	0.0666121
0.4-0.8	0.0545133	0.0678701
0.8-1.2	0.109949	0.0696795
1.2-1.6	-0.00144771	0.0730294
1.6-2	0.14158	0.077112
2-2.4	0.0284853	0.0872421
-2.4--2	0.0509357	0.0687184
-2--1.6	0.00314156	0.0642606
-1.6--1.2	0.0145507	0.062888
-1.2--0.8	0.0677525	0.0626595
-0.8--0.4	0.0673168	0.06361
-0.4-0	0.0314029	0.0650531
0-0.4	0.0868779	0.0662949
0.4-0.8	0.100499	0.0675524
0.8-1.2	0.0360953	0.0692941
1.2-1.6	0.0212356	0.0726419
1.6-2	0.033242	0.0766651
2-2.4	0.0710566	0.0867102
-2.4--2	0.0327175	0.0689679
-2--1.6	0.0418644	0.0644546
-1.6--1.2	0.0916398	0.0630845
-1.2--0.8	0.072398	0.062925
-0.8--0.4	0.0355349	0.0638624
-0.4-0	0.0619455	0.0652944
0-0.4	0.105321	0.0665283
0.4-0.8	0.0422269	0.0678186
0.8-1.2	0.0243609	0.0696089
1.2-1.6	-0.00466714	0.0729758
1.6-2	0.0138942	0.0770343
2-2.4	0.0229228	0.0871997
-2.4--2	0.0216667	0.0686134
-2--1.6	0.0864219	0.0641567
-1.6--1.2	0.0697573	0.0627509
-1.2--0.8	0.0567026	0.0625913
-0.8--0.4	0.0757317	0.063492
-0.4-0	0.0411651	0.0649585
0-0.4	0.0675274	0.0661934
0.4-0.8	-0.0078657	0.0674205
0.8-1.2	-0.0140287	0.069171
1.2-1.6	-0.0320645	0.0725608
1.6-2	0.133383	0.0765617
2-2.4	0.0872785	0.086651
-2.4--2	-0.00870056	0.0871585
-2--1.6	0.0829348	0.078074
-1.6--1.2	0.0290295	0.073448
-1.2--0.8	0.07697	0.070415
-0.8--0.4	0.0660993	0.0689091
-0.4-0	0.0542378	0.0680321
0-0.4	0.0367779	0.0668853
0.4-0.8	0.0493116	0.065696
0.8-1.2	0.0286129	0.0649552
1.2-1.6	0.0447286	0.0653693
1.6-2	0.0372411	0.0662695
2-2.4	0.0724865	0.0716253
-2.4--2	0.0515774	0.0852327
-2--1.6	0.0325472	0.0759708
-1.6--1.2	0.043885	0.0711608
-1.2--0.8	0.0385694	0.0679648
-0.8--0.4	0.0511065	0.0663055
-0.4-0	0.0630837	0.0652528
0-0.4	0.0719579	0.0639599
0.4-0.8	0.0114602	0.062694
0.8-1.2	0.0332323	0.0618107
1.2-1.6	-0.000553594	0.0621013
1.6-2	0.0760849	0.0628456
2-2.4	0.112816	0.0677265
-2.4--2	0.167183	0.0874881
-2--1.6	0.0670816	0.0779457
-1.6--1.2	0.132003	0.0730692
-1.2--0.8	0.115842	0.0698085
-0.8--0.4	0.121189	0.0680574
-0.4-0	0.0206056	0.066976
0-0.4	0.0619237	0.0656415
0.4-0.8	0.0388503	0.0643397
0.8-1.2	-0.0351245	0.0634115
1.2-1.6	0.0695591	0.063723
1.6-2	-0.0236243	0.0644584
2-2.4	-0.0773042	0.0694859
-2.4--2	-0.00273924	0.0879314
-2--1.6	0.0191169	0.0782217
-1.6--1.2	0.0541752	0.0733595
-1.2--0.8	0.0669866	0.0700697
-0.8--0.4	0.0724041	0.0683049
-0.4-0	0.0879837	0.0671826
0-0.4	0.0665906	0.0658879
0.4-0.8	0.0656247	0.0645779
0.8-1.2	0.0286127	0.0636823
1.2-1.6	0.0321069	0.0639654
1.6-2	0.00333841	0.0646619
2-2.4	0.0651643	0.0696178
-2.4--2	0.0338202	0.0875068
-2--1.6	0.0841666	0.0779426
-1.6--1.2	-0.0271215	0.0730396
-1.2--0.8	-0.0176974	0.06979
-0.8--0.4	0.0118391	0.0680357
-0.4-0	0.0708199	0.06693
0-0.4	0.0558538	0.0656288
0.4-0.8	0.115983	0.0643396
0.8-1.2	0.0637941	0.0634138
1.2-1.6	0.0390187	0.0637136
1.6-2	0.0889626	0.064422
2-2.4	0.0330039	0.069369
-2.4--2	-0.00648596	0.0862626
-2--1.6	0.066501	0.0769094
-1.6--1.2	-0.00767683	0.0720343
-1.2--0.8	0.0211972	0.0688086
-0.8--0.4	0.0188065	0.0671401
-0.4-0	0.0579606	0.066063
0-0.4	0.0659657	0.0647759
0.4-0.8	0.0712813	0.0635307
0.8-1.2	0.0424688	0.0626145
1.2-1.6	0.0872772	0.0628727
1.6-2	0.0365481	0.0635715
